variant,location,freq,date,median_freq_nowcast,median_freq_forecast
Omicron 21L,Brazil,0.4479166666666667,2022-06-11,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-12,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-13,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-14,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-15,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-16,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-17,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-18,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-19,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-20,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-21,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-22,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-23,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-24,0.4479166666666667,
Omicron 21L,Brazil,0.4479166666666667,2022-06-25,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-06-26,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-06-27,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-06-28,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-06-29,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-06-30,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-07-01,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-07-02,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-07-03,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-07-04,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-07-05,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-07-06,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-07-07,,0.4479166666666667
Omicron 21L,Brazil,0.4479166666666667,2022-07-08,,0.4479166666666667
Omicron 22A,Brazil,0.47916666666666663,2022-06-11,0.47916666666666663,
Omicron 22A,Brazil,0.47916666666666663,2022-06-12,0.47916666666666663,
Omicron 22A,Brazil,0.47916666666666663,2022-06-13,0.47916666666666663,
Omicron 22A,Brazil,0.47916666666666663,2022-06-14,0.47916666666666663,
Omicron 22A,Brazil,0.47916666666666663,2022-06-15,0.47916666666666663,
Omicron 22A,Brazil,0.47916666666666663,2022-06-16,0.47916666666666663,
Omicron 22A,Brazil,0.47916666666666663,2022-06-17,0.47916666666666663,
Omicron 22A,Brazil,0.47916666666666663,2022-06-18,0.47916666666666663,
Omicron 22A,Brazil,0.47916666666666663,2022-06-19,0.47916666666666663,
Omicron 22A,Brazil,0.47916666666666663,2022-06-20,0.47916666666666663,
