date	location	variant	sequences	thres
2021-11-19	Denmark	Delta	1	100.0
2021-11-20	Denmark	Delta	2	100.0
2021-11-21	Denmark	Delta	4	100.0
2021-11-22	Denmark	Delta	1	100.0
2021-11-23	Denmark	Delta	3	100.0
2021-11-25	Denmark	Delta	2	100.0
2021-11-26	Denmark	Delta	2	100.0
2021-11-28	Denmark	Delta	2	100.0
2021-11-29	Denmark	Delta	1	100.0
2021-11-30	Denmark	Delta	1	100.0
2021-12-01	Denmark	Delta	5	100.0
2021-12-02	Denmark	Delta	1	100.0
2021-12-03	Denmark	Delta	1	100.0
2021-12-04	Denmark	Delta	3	100.0
2021-12-05	Denmark	Delta	4	100.0
2021-12-06	Denmark	Delta	2	100.0
2021-12-07	Denmark	Delta	3	100.0
2021-12-08	Denmark	Delta	3	100.0
2021-12-09	Denmark	Delta	1	100.0
2021-12-11	Denmark	Delta	1	100.0
2021-12-12	Denmark	Delta	2	100.0
2021-12-13	Denmark	Delta	3	100.0
2021-12-15	Denmark	Delta	1	100.0
2021-12-17	Denmark	Delta	1	100.0
2021-12-30	Denmark	Delta	1	100.0
2022-01-04	Denmark	Delta	1	100.0
2021-12-10	Denmark	Omicron 21K	1	100.0
2021-12-14	Denmark	Omicron 21K	1	100.0
2021-12-15	Denmark	Omicron 21K	1	100.0
2021-12-19	Denmark	Omicron 21K	1	100.0
2021-12-22	Denmark	Omicron 21K	1	100.0
2021-12-23	Denmark	Omicron 21K	1	100.0
2021-12-27	Denmark	Omicron 21K	2	100.0
2021-12-28	Denmark	Omicron 21K	4	100.0
2022-01-02	Denmark	Omicron 21K	4	100.0
2022-01-03	Denmark	Omicron 21K	2	100.0
2022-01-04	Denmark	Omicron 21K	1	100.0
2022-01-05	Denmark	Omicron 21K	1	100.0
2022-01-06	Denmark	Omicron 21K	1	100.0
2022-01-07	Denmark	Omicron 21K	4	100.0
2022-01-08	Denmark	Omicron 21K	1	100.0
2022-01-10	Denmark	Omicron 21K	2	100.0
2022-01-11	Denmark	Omicron 21K	1	100.0
2022-01-12	Denmark	Omicron 21K	1	100.0
2022-01-14	Denmark	Omicron 21K	3	100.0
2022-01-16	Denmark	Omicron 21K	2	100.0
2022-01-20	Denmark	Omicron 21K	1	100.0
2022-01-23	Denmark	Omicron 21K	1	100.0
2022-01-25	Denmark	Omicron 21K	1	100.0
2022-02-02	Denmark	Omicron 21K	1	100.0
2022-02-09	Denmark	Omicron 21K	1	100.0
2022-02-15	Denmark	Omicron 21K	2	100.0
2021-12-26	Denmark	Omicron 21L	1	100.0
