date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2021-11-20,Australia,Delta,0.9933401,0.99432254,0.99221265,0.9940182,0.9925957,0.99367654,0.99293655,,,,,,,
2021-11-21,Australia,Delta,0.9920378,0.99318,0.99074304,0.9928221,0.9911864,0.99242544,0.9915717,,,,,,,
2021-11-22,Australia,Delta,0.9904864,0.99181604,0.9889956,0.99139154,0.98950404,0.99092627,0.98994344,,,,,,,
2021-11-23,Australia,Delta,0.9886394,0.9901749,0.98691523,0.98967844,0.98750246,0.9891382,0.9880137,,,,,,,
2021-11-24,Australia,Delta,0.9864246,0.9882066,0.9844438,0.98762584,0.9851252,0.9870004,0.98571616,,,,,,,
2021-11-25,Australia,Delta,0.9837892,0.98584914,0.98151416,0.98516226,0.9822979,0.9844598,0.98296887,,,,,,,
2021-11-26,Australia,Delta,0.9806586,0.98302245,0.978045,0.9822218,0.97896063,0.9814129,0.9797071,,,,,,,
2021-11-27,Australia,Delta,0.9769162,0.97963214,0.9739421,0.9786957,0.9750117,0.97777116,0.97582835,,,,,,,
2021-11-28,Australia,Delta,0.9724865,0.975585,0.9690965,0.97449505,0.97034574,0.9734597,0.9712596,,,,,,,
2021-11-29,Australia,Delta,0.9672096,0.97076255,0.96338385,0.9695042,0.9648213,0.9683587,0.96587336,,,,,,,
2021-11-30,Australia,Delta,0.96100676,0.9649659,0.9566622,0.9635306,0.95831144,0.9623345,0.95949215,,,,,,,
2021-12-01,Australia,Delta,0.9536793,0.9580842,0.9488336,0.9565879,0.9506676,0.9551753,0.9519593,,,,,,,
2021-12-02,Australia,Delta,0.94504297,0.94997406,0.93969357,0.948369,0.9416791,0.9467292,0.94312793,,,,,,,
2021-12-03,Australia,Delta,0.9348467,0.9404292,0.9290424,0.93868995,0.9312041,0.93679976,0.93286085,,,,,,,
2021-12-04,Australia,Delta,0.9230269,0.9292476,0.91667634,0.9272392,0.91906816,0.9251507,0.9207303,,,,,,,
2021-12-05,Australia,Delta,0.9092682,0.9161582,0.90227103,0.9137183,0.904886,0.9115988,0.9067242,,,,,,,
2021-12-06,Australia,Delta,0.8933958,0.90081394,0.88571525,0.89801633,0.88859403,0.89587414,0.8905157,,,,,,,
2021-12-07,Australia,Delta,0.87488884,0.8830085,0.86673963,0.88009703,0.86980116,0.8776846,0.8719285,,,,,,,
2021-12-08,Australia,Delta,0.8538219,0.8623793,0.84512806,0.8594448,0.8483179,0.85679984,0.850745,,,,,,,
2021-12-09,Australia,Delta,0.82986706,0.83885306,0.820718,0.8358102,0.82386523,0.83297867,0.8264307,,,,,,,
2021-12-10,Australia,Delta,0.80281174,0.8122994,0.79311955,0.80919045,0.7966285,0.8062947,0.79926294,,,,,,,
2021-12-11,Australia,Delta,0.77278423,0.7826991,0.7624141,0.779399,0.76624805,0.77644646,0.76906574,,,,,,,
2021-12-12,Australia,Delta,0.73960316,0.7499354,0.7289473,0.74650717,0.73266125,0.74345154,0.73571414,,,,,,,
2021-12-13,Australia,Delta,0.70341784,0.71423864,0.69248956,0.71072865,0.69606054,0.7074433,0.6993958,,,,,,,
2021-12-14,Australia,Delta,0.6644113,0.6754401,0.6530516,0.6719923,0.6568601,0.6688106,0.66055644,,,,,,,
2021-12-15,Australia,Delta,0.6231139,0.63482046,0.61132175,0.6310477,0.6152693,0.6276443,0.61925733,,,,,,,
2021-12-16,Australia,Delta,0.580069,0.5921941,0.56815934,0.58831996,0.57213604,0.5843705,0.5760182,,,,,,,
2021-12-17,Australia,Delta,0.5359079,0.5486065,0.52335614,0.54420155,0.5276288,0.5399033,0.53139466,,,,,,,
2021-12-18,Australia,Delta,0.49076495,0.50399435,0.4783525,0.4996693,0.48236084,0.49509093,0.48623008,,,,,,,
2021-12-19,Australia,Delta,0.44583935,0.45917115,0.4333136,0.45465848,0.43711048,0.450279,0.44140935,,,,,,,
2021-12-20,Australia,Delta,0.4018822,0.4152612,0.38912374,0.41079524,0.39272016,0.40632457,0.39763483,,,,,,,
2021-12-21,Australia,Delta,0.3595395,0.37287575,0.34655213,0.36819482,0.35038522,0.36393625,0.35519662,,,,,,,
2021-12-22,Australia,Delta,0.31935388,0.3325613,0.30616242,0.32764927,0.3098349,0.3238595,0.31472424,,,,,,,
2021-12-23,Australia,Delta,0.28159618,0.2946139,0.2684158,0.2895223,0.27215278,0.28589073,0.2769944,,,,,,,
2021-12-24,Australia,Delta,0.24669607,0.25941092,0.2339679,0.25421435,0.23760505,0.2507301,0.24209283,,,,,,,
2021-12-25,Australia,Delta,0.21477118,0.22722138,0.20259058,0.22187482,0.20608798,0.2186594,0.21049464,,,,,,,
2021-12-26,Australia,Delta,0.18591788,0.1983,0.17445979,0.1929956,0.17770058,0.18952079,0.18196167,,,,,,,
2021-12-27,Australia,Delta,0.16029558,0.17187288,0.14940244,0.16694179,0.15243958,0.16368127,0.15635076,,,,,,,
2021-12-28,Australia,Delta,0.13750434,0.14821075,0.12738855,0.14370894,0.13012765,0.14064503,0.13385426,,,,,,,
2021-12-29,Australia,Delta,0.1175823,0.12735495,0.10828031,0.12312269,0.11067625,0.12037558,0.11414693,,,,,,,
2021-12-30,Australia,Delta,0.1001712,0.10917333,0.09160413,0.10526128,0.09377368,0.102621496,0.09702331,,,,,,,
2021-12-31,Australia,Delta,0.085044816,0.09336773,0.07724151,0.08973273,0.07927452,0.08732527,0.08217631,,,,,,,
2022-01-01,Australia,Delta,0.07204743,0.079673894,0.06509641,0.07629867,0.06673938,0.074133664,0.069463015,,,,,,,
2022-01-02,Australia,Delta,0.06089416,0.06781062,0.054677438,0.064729996,0.056086134,0.0628087,0.058573976,,,,,,,
2022-01-03,Australia,Delta,0.051372208,0.0575619,0.045837574,0.0547749,0.04714963,0.053100266,0.049268547,,,,,,,
2022-01-04,Australia,Delta,0.04327673,0.048741013,0.038363405,0.04630061,0.03951087,0.044799674,0.041386135,,,,,,,
2022-01-05,Australia,Delta,0.03642966,0.041212447,0.032041617,0.03909,0.03312157,0.037771568,0.03473479,,,,,,,
2022-01-06,Australia,Delta,0.030604493,0.034803957,0.026743129,0.032995135,0.027696738,0.03177599,0.029106814,,,,,,,
2022-01-07,Australia,Delta,0.025699876,0.029361265,0.02230056,0.027792646,0.023118287,0.026705874,0.024368688,,,,,,,
2022-01-08,Australia,Delta,0.021552186,0.024747713,0.018581819,0.02339646,0.019283064,0.022429321,0.020409634,,,,,,,
2022-01-09,Australia,Delta,0.018062275,0.020843439,0.015473343,0.019664166,0.016096499,0.018839177,0.017072635,,,,,,,
2022-01-10,Australia,Delta,0.015133649,0.017544461,0.012877993,0.01652409,0.013447119,0.015815202,0.014273515,,,,,,,
2022-01-11,Australia,Delta,0.012665493,0.0147596635,0.010713201,0.01389227,0.011223478,0.01327417,0.011923581,,,,,,,
2022-01-12,Australia,Delta,0.010603277,0.012411216,0.0089089945,0.01167651,0.009355353,0.011139788,0.009950043,,,,,,,
2022-01-13,Australia,Delta,0.008869097,0.010432402,0.0074055046,0.009814659,0.007786084,0.0093313465,0.008303933,,,,,,,
2022-01-14,Australia,Delta,0.0074173426,0.008766219,0.006152179,0.008236331,0.0064845476,0.007819388,0.0069344165,,,,,,,
2022-01-15,Australia,Delta,0.0062017203,0.0073669013,0.005109865,0.006908796,0.0054017585,0.006552517,0.00578649,,,,,,,
2022-01-16,Australia,Delta,0.0051836222,0.0061895237,0.0042433785,0.0057988935,0.0044994545,0.0054883845,0.0048259287,,,,,,,
2022-01-17,Australia,Delta,0.004335931,0.00519929,0.0035239146,0.0048680766,0.0037474483,0.004591808,0.004026209,,,,,,,
2022-01-18,Australia,Delta,0.0036237699,0.004366757,0.002927023,0.004087002,0.003119839,0.0038450703,0.0033591138,,,,,,,
2021-11-20,Australia,Omicron 21K,0.0066075325,0.0077507687,0.005613968,0.0073332745,0.0059139337,0.0069998084,0.00627576,,,,,,,
2021-11-21,Australia,Omicron 21K,0.007897132,0.009211924,0.006752341,0.008735568,0.007103538,0.008356676,0.0075162603,,,,,,,
2021-11-22,Australia,Omicron 21K,0.009438254,0.010950536,0.008119647,0.010409814,0.0085334275,0.009961567,0.009006355,,,,,,,
2021-11-23,Australia,Omicron 21K,0.011268121,0.013023215,0.009761087,0.01240269,0.010242438,0.011874028,0.010781433,,,,,,,
2021-11-24,Australia,Omicron 21K,0.013455814,0.015482377,0.011720253,0.014762162,0.012279865,0.014170757,0.012896239,,,,,,,
2021-11-25,Australia,Omicron 21K,0.016072292,0.018397216,0.014062119,0.017567417,0.014718931,0.016912077,0.015420674,,,,,,,
2021-11-26,Australia,Omicron 21K,0.019177567,0.021848565,0.016864344,0.020887805,0.017639125,0.020152625,0.018452346,,,,,,,
2021-11-27,Australia,Omicron 21K,0.02288332,0.02593023,0.020222263,0.024809293,0.021151701,0.02397409,0.022044059,,,,,,,
2021-11-28,Australia,Omicron 21K,0.02728248,0.030750275,0.024238613,0.029463693,0.02533475,0.028546374,0.02631447,,,,,,,
2021-11-29,Australia,Omicron 21K,0.03250684,0.036432583,0.029038284,0.034959987,0.030288693,0.033904836,0.03136102,,,,,,,
2021-11-30,Australia,Omicron 21K,0.038676046,0.043108083,0.03478818,0.04140715,0.03615922,0.04022883,0.037354536,,,,,,,
2021-12-01,Australia,Omicron 21K,0.045969114,0.050877158,0.041607197,0.048956055,0.04308886,0.047696956,0.044446625,,,,,,,
2021-12-02,Australia,Omicron 21K,0.05454792,0.059958212,0.0496675,0.05787522,0.051234037,0.05643376,0.052847117,,,,,,,
2021-12-03,Australia,Omicron 21K,0.06464639,0.070539,0.059163526,0.068307005,0.0609005,0.066660404,0.06266646,,,,,,,
2021-12-04,Australia,Omicron 21K,0.07644471,0.0828245,0.070268445,0.08039041,0.07225894,0.07869518,0.074251294,,,,,,,
2021-12-05,Australia,Omicron 21K,0.090071194,0.09710759,0.083276495,0.09445529,0.08556993,0.092585504,0.08776791,,,,,,,
2021-12-06,Australia,Omicron 21K,0.10590302,0.113490134,0.09852445,0.11067159,0.10114366,0.10882909,0.1034369,,,,,,,
2021-12-07,Australia,Omicron 21K,0.12427303,0.1322596,0.1162314,0.12942523,0.11907183,0.1272603,0.12142729,,,,,,,
2021-12-08,Australia,Omicron 21K,0.14523011,0.153873,0.1365811,0.15079573,0.13958229,0.14826304,0.14216264,,,,,,,
2021-12-09,Australia,Omicron 21K,0.16897643,0.17812242,0.15997177,0.1750351,0.16306664,0.17229131,0.16584215,,,,,,,
2021-12-10,Australia,Omicron 21K,0.19585055,0.20552742,0.18636534,0.2021134,0.189436,0.19922224,0.1924124,,,,,,,
2021-12-11,Australia,Omicron 21K,0.22567579,0.23589048,0.21579781,0.23237039,0.2189908,0.2292939,0.22199824,,,,,,,
2021-12-12,Australia,Omicron 21K,0.25860804,0.2689554,0.24831498,0.26558486,0.25160944,0.2623802,0.2547408,,,,,,,
2021-12-13,Australia,Omicron 21K,0.2945022,0.3050518,0.28372106,0.30170518,0.28720134,0.29840195,0.2903911,,,,,,,
2021-12-14,Australia,Omicron 21K,0.33320826,0.34439334,0.32210505,0.34072384,0.3256505,0.33696234,0.32880965,,,,,,,
2021-12-15,Australia,Omicron 21K,0.37424764,0.38591057,0.36248374,0.38193703,0.36637172,0.3778178,0.36961466,,,,,,,
2021-12-16,Australia,Omicron 21K,0.4169373,0.42887884,0.40471804,0.42465466,0.40886873,0.42069232,0.4124382,,,,,,,
2021-12-17,Australia,Omicron 21K,0.4608242,0.47291696,0.44783628,0.4691909,0.45251566,0.46512052,0.45656472,,,,,,,
2021-12-18,Australia,Omicron 21K,0.50546134,0.51778215,0.49236506,0.51372814,0.49678972,0.509944,0.50118303,,,,,,,
2021-12-19,Australia,Omicron 21K,0.5500413,0.56235254,0.5364553,0.5584084,0.54133385,0.55431986,0.54555213,,,,,,,
2021-12-20,Australia,Omicron 21K,0.593654,0.6062511,0.58002526,0.6025058,0.5847721,0.5979597,0.5890292,,,,,,,
2021-12-21,Australia,Omicron 21K,0.6356633,0.6486062,0.62212205,0.6445677,0.6271024,0.6399668,0.6310739,,,,,,,
2021-12-22,Australia,Omicron 21K,0.67544305,0.6887597,0.6621908,0.6846892,0.6673706,0.6800428,0.6711591,,,,,,,
2021-12-23,Australia,Omicron 21K,0.71271837,0.72606075,0.69981325,0.7220849,0.7047438,0.71725607,0.7085521,,,,,,,
2021-12-24,Australia,Omicron 21K,0.7472515,0.76044023,0.7344091,0.7564944,0.73951936,0.75159174,0.7433969,,,,,,,
2021-12-25,Australia,Omicron 21K,0.77873355,0.7914424,0.7664764,0.78771645,0.771179,0.78298867,0.7752439,,,,,,,
2021-12-26,Australia,Omicron 21K,0.80729127,0.8193751,0.79533726,0.8158034,0.80001414,0.81145036,0.8039197,,,,,,,
2021-12-27,Australia,Omicron 21K,0.83261096,0.84414595,0.82151896,0.84081507,0.82594836,0.8366881,0.8294406,,,,,,,
2021-12-28,Australia,Omicron 21K,0.855133,0.8658944,0.8445332,0.8628988,0.8488362,0.8590427,0.8521314,,,,,,,
2021-12-29,Australia,Omicron 21K,0.8749131,0.88497233,0.8650216,0.88214743,0.8689621,0.87852204,0.87207985,,,,,,,
2021-12-30,Australia,Omicron 21K,0.8921529,0.90140665,0.88297,0.8987937,0.88667357,0.89539945,0.88944566,,,,,,,
2021-12-31,Australia,Omicron 21K,0.90698665,0.91551715,0.8985969,0.913133,0.90195286,0.90998554,0.90442824,,,,,,,
2022-01-01,Australia,Omicron 21K,0.91972095,0.927508,0.9121216,0.9254203,0.9150759,0.9224876,0.9173599,,,,,,,
2022-01-02,Australia,Omicron 21K,0.93064344,0.93772125,0.9237653,0.9357285,0.9263839,0.9332037,0.92849606,,,,,,,
2022-01-03,Australia,Omicron 21K,0.9399397,0.94637424,0.9336959,0.94463456,0.93608004,0.9422775,0.9379432,,,,,,,
2022-01-04,Australia,Omicron 21K,0.94788957,0.9536457,0.94201535,0.9521362,0.9443057,0.9498943,0.9460397,,,,,,,
2022-01-05,Australia,Omicron 21K,0.9545332,0.95982456,0.94899607,0.9582536,0.9512291,0.95645595,0.95280623,,,,,,,
2022-01-06,Australia,Omicron 21K,0.96013653,0.9649666,0.955196,0.9636052,0.9571378,0.9619564,0.9586013,,,,,,,
2022-01-07,Australia,Omicron 21K,0.9648303,0.96937466,0.9603231,0.96804214,0.9619851,0.96650374,0.96345353,,,,,,,
2022-01-08,Australia,Omicron 21K,0.9687587,0.97302246,0.96438015,0.97174597,0.96605444,0.97030616,0.9674349,,,,,,,
2022-01-09,Australia,Omicron 21K,0.9720397,0.9760294,0.9679056,0.9750039,0.969492,0.97359455,0.9708258,,,,,,,
2022-01-10,Australia,Omicron 21K,0.9747808,0.9785073,0.97076046,0.97759557,0.97228897,0.97620225,0.9735808,,,,,,,
2022-01-11,Australia,Omicron 21K,0.9771085,0.9805707,0.9730785,0.9797544,0.97463447,0.9784318,0.9758935,,,,,,,
2022-01-12,Australia,Omicron 21K,0.9789789,0.9824084,0.974864,0.9815131,0.97650456,0.980256,0.9777442,,,,,,,
2022-01-13,Australia,Omicron 21K,0.9805546,0.9838115,0.97644573,0.982956,0.97805953,0.9817966,0.9793238,,,,,,,
2022-01-14,Australia,Omicron 21K,0.9818407,0.9850409,0.97773904,0.98415947,0.9793227,0.983018,0.9805956,,,,,,,
2022-01-15,Australia,Omicron 21K,0.9828932,0.98607755,0.97876775,0.9851547,0.9802853,0.9840307,0.9815877,,,,,,,
2022-01-16,Australia,Omicron 21K,0.9836916,0.98692036,0.9795443,0.9859195,0.9810953,0.98487675,0.98237026,,,,,,,
2022-01-17,Australia,Omicron 21K,0.98435485,0.987612,0.98012424,0.9866162,0.981726,0.98553395,0.98296267,,,,,,,
2022-01-18,Australia,Omicron 21K,0.9848504,0.9881401,0.9805154,0.9871392,0.98223484,0.9860376,0.98341775,,,,,,,
2021-11-20,Australia,other,2.286271e-05,0.00013415469,4.0123177e-06,7.554513e-05,7.656026e-06,4.3079355e-05,1.2765019e-05,,,,,,,
2021-11-21,Australia,other,2.6472611e-05,0.00014855292,4.898474e-06,8.437205e-05,9.06662e-06,4.8620175e-05,1.49178295e-05,,,,,,,
2021-11-22,Australia,other,3.060046e-05,0.00016454108,5.979521e-06,9.342675e-05,1.0698622e-05,5.502454e-05,1.7417002e-05,,,,,,,
2021-11-23,Australia,other,3.5612196e-05,0.00018346118,7.2869125e-06,0.000104390856,1.2515784e-05,6.266266e-05,2.037174e-05,,,,,,,
2021-11-24,Australia,other,4.1216816e-05,0.00020604892,8.79473e-06,0.000118112475,1.487361e-05,7.1537615e-05,2.3850482e-05,,,,,,,
2021-11-25,Australia,other,4.7165333e-05,0.00023142014,1.0621659e-05,0.00013111383,1.7582463e-05,8.1443206e-05,2.8076267e-05,,,,,,,
2021-11-26,Australia,other,5.4778524e-05,0.00025914676,1.2908373e-05,0.00014614317,2.0545547e-05,9.1714246e-05,3.2680975e-05,,,,,,,
2021-11-27,Australia,other,6.300624e-05,0.00028844306,1.5670781e-05,0.00016290546,2.4180776e-05,0.000104808496,3.8351754e-05,,,,,,,
2021-11-28,Australia,other,7.2835996e-05,0.00032089232,1.8938503e-05,0.0001834024,2.9155548e-05,0.00011832683,4.5357403e-05,,,,,,,
2021-11-29,Australia,other,8.4446954e-05,0.0003567165,2.2566916e-05,0.00020583053,3.4485434e-05,0.00013516622,5.2801406e-05,,,,,,,
2021-11-30,Australia,other,9.7076525e-05,0.00039614632,2.6840506e-05,0.00023144539,4.0525636e-05,0.00015333074,6.0773862e-05,,,,,,,
2021-12-01,Australia,other,0.00011255927,0.00043941522,3.2198484e-05,0.00025736916,4.8015525e-05,0.00017426131,7.053188e-05,,,,,,,
2021-12-02,Australia,other,0.00012977491,0.0004865146,3.8255108e-05,0.00028756063,5.6621087e-05,0.0001987895,8.152721e-05,,,,,,,
2021-12-03,Australia,other,0.00014966883,0.0005330823,4.5895154e-05,0.00032058987,6.670253e-05,0.00022448237,9.519353e-05,,,,,,,
2021-12-04,Australia,other,0.00017273742,0.00058258866,5.4626456e-05,0.00036445248,7.8534875e-05,0.00025165742,0.000110698675,,,,,,,
2021-12-05,Australia,other,0.0001971146,0.0006352132,6.464299e-05,0.00040620164,9.227975e-05,0.00028376002,0.00012884682,,,,,,,
2021-12-06,Australia,other,0.00022329821,0.000693023,7.681596e-05,0.0004514792,0.00010730735,0.00031857708,0.00014987467,,,,,,,
2021-12-07,Australia,other,0.00025437397,0.00075515773,9.000246e-05,0.00050023425,0.00012558572,0.0003561786,0.00017321666,,,,,,,
2021-12-08,Australia,other,0.00028485619,0.0008198635,0.00010510416,0.0005544487,0.00014584861,0.0003995855,0.00019750207,,,,,,,
2021-12-09,Australia,other,0.000318631,0.00088641164,0.00012269575,0.0006100815,0.00016800594,0.00043595757,0.00022660394,,,,,,,
2021-12-10,Australia,other,0.00035603374,0.00095731195,0.00014374188,0.000670052,0.00019163071,0.00048192663,0.0002577525,,,,,,,
2021-12-11,Australia,other,0.00040157253,0.0010284546,0.00016707578,0.00073132064,0.00021975157,0.0005352888,0.00029202527,,,,,,,
2021-12-12,Australia,other,0.00044283946,0.0010957278,0.00019106959,0.0007935886,0.0002494587,0.0005894199,0.00032907675,,,,,,,
2021-12-13,Australia,other,0.00048533134,0.0011807944,0.00021775259,0.0008570773,0.00027960716,0.00064459135,0.00036652465,,,,,,,
2021-12-14,Australia,other,0.0005301538,0.0012345631,0.00024426077,0.00090831687,0.00031203183,0.00069777376,0.0004031177,,,,,,,
2021-12-15,Australia,other,0.00057903316,0.001316232,0.00026985994,0.00097118935,0.00034361225,0.0007469858,0.0004409278,,,,,,,
2021-12-16,Australia,other,0.0006236833,0.001378987,0.00029920123,0.0010270525,0.00037417238,0.0007947592,0.00047662202,,,,,,,
2021-12-17,Australia,other,0.00066708017,0.0014526297,0.00032828358,0.0010958135,0.00040488664,0.0008425263,0.0005133706,,,,,,,
2021-12-18,Australia,other,0.00071128795,0.0015099236,0.00036145456,0.001135443,0.0004378969,0.00088610983,0.00054692413,,,,,,,
2021-12-19,Australia,other,0.0007471598,0.0015539832,0.00039259548,0.0011781559,0.00047051292,0.0009227317,0.00057960226,,,,,,,
2021-12-20,Australia,other,0.0007808957,0.0016025582,0.00041815167,0.0012328001,0.00050012313,0.0009649179,0.0006069946,,,,,,,
2021-12-21,Australia,other,0.00080853305,0.0016223527,0.00043467362,0.0012638633,0.0005241687,0.0009949423,0.0006291394,,,,,,,
2021-12-22,Australia,other,0.0008246545,0.0016225665,0.00044436584,0.001287882,0.0005514952,0.001026568,0.0006513751,,,,,,,
2021-12-23,Australia,other,0.000842027,0.0016427464,0.00046241703,0.0013023043,0.0005664241,0.0010450293,0.00066969753,,,,,,,
2021-12-24,Australia,other,0.00086191564,0.0016846403,0.00047800608,0.0013020212,0.000573445,0.00105236,0.0006741922,,,,,,,
2021-12-25,Australia,other,0.0008592621,0.0016784216,0.0004772568,0.0013163318,0.0005767546,0.0010578264,0.0006851656,,,,,,,
2021-12-26,Australia,other,0.00086996454,0.0016817572,0.00047338064,0.0013202757,0.0005736955,0.0010676114,0.0006928216,,,,,,,
2021-12-27,Australia,other,0.00086618797,0.0016587112,0.00046840584,0.0013253368,0.0005741093,0.0010537441,0.00069221284,,,,,,,
2021-12-28,Australia,other,0.00086166285,0.001657028,0.0004551551,0.0013403677,0.00057133555,0.0010484365,0.0006831696,,,,,,,
2021-12-29,Australia,other,0.00085105054,0.0016553699,0.0004453539,0.0013311328,0.0005560472,0.0010458009,0.00067765557,,,,,,,
2021-12-30,Australia,other,0.00084809645,0.001642949,0.00043547183,0.0013175884,0.0005401378,0.0010376731,0.00065961835,,,,,,,
2021-12-31,Australia,other,0.000837561,0.0016434109,0.00042227248,0.0013098102,0.00052596244,0.0010328064,0.0006487233,,,,,,,
2022-01-01,Australia,other,0.0008295052,0.0016517622,0.00040775002,0.0012809172,0.00050176,0.0010198323,0.0006340132,,,,,,,
2022-01-02,Australia,other,0.0008084122,0.0016577896,0.00038608885,0.001263788,0.0004734627,0.0010035741,0.00061587774,,,,,,,
2022-01-03,Australia,other,0.00079069496,0.0016574454,0.00036322352,0.0012713267,0.0004520425,0.000988923,0.00059704296,,,,,,,
2022-01-04,Australia,other,0.00077065686,0.0016748928,0.0003429324,0.0012680575,0.00043856096,0.000982628,0.00057819986,,,,,,,
2022-01-05,Australia,other,0.0007509175,0.0016596683,0.00032648677,0.0012506852,0.00042299103,0.00096493005,0.0005595904,,,,,,,
2022-01-06,Australia,other,0.00073457224,0.0016478137,0.00030945556,0.0012327508,0.00039937542,0.0009442483,0.00053898414,,,,,,,
2022-01-07,Australia,other,0.00071420276,0.0016370497,0.00029455405,0.0012199793,0.00038122333,0.0009355766,0.000518811,,,,,,,
2022-01-08,Australia,other,0.0006939098,0.0016262364,0.00027661325,0.0012100108,0.00036251717,0.00092369714,0.00049623096,,,,,,,
2022-01-09,Australia,other,0.0006741965,0.0016340523,0.00026190825,0.0011967982,0.0003436948,0.00091003644,0.00047538965,,,,,,,
2022-01-10,Australia,other,0.0006520759,0.0016370192,0.0002452991,0.0011944657,0.00032464688,0.00089881633,0.0004519754,,,,,,,
2022-01-11,Australia,other,0.00062753086,0.0016320075,0.00022975763,0.0011912719,0.00030630763,0.0008811004,0.00043060345,,,,,,,
2022-01-12,Australia,other,0.00060566526,0.001626787,0.00021674595,0.0011835544,0.00028918346,0.0008634086,0.00041026188,,,,,,,
2022-01-13,Australia,other,0.0005895746,0.0016443911,0.00020297496,0.00118657,0.0002723639,0.0008496849,0.00039165028,,,,,,,
2022-01-14,Australia,other,0.0005721301,0.0016806605,0.00018813713,0.0011585972,0.00025710257,0.0008336765,0.00037273273,,,,,,,
2022-01-15,Australia,other,0.0005531391,0.001714963,0.00017424294,0.0011314792,0.00024265242,0.0008203723,0.00035591805,,,,,,,
2022-01-16,Australia,other,0.00053796923,0.0017109407,0.00016231099,0.0011327111,0.00023077693,0.0008037444,0.00033918337,,,,,,,
2022-01-17,Australia,other,0.0005176032,0.0017252418,0.00015126915,0.0011308774,0.00021980719,0.00079354376,0.00032333404,,,,,,,
2022-01-18,Australia,other,0.000504616,0.0017307883,0.00014095052,0.0011294867,0.00020795896,0.0007852746,0.00030839109,,,,,,,
2021-11-20,Australia,Omicron 21L,2.2421715e-05,3.0773277e-05,1.6118134e-05,2.7537915e-05,1.7857716e-05,2.491123e-05,2.0268006e-05,,,,,,,
2021-11-21,Australia,Omicron 21L,2.7318772e-05,3.746422e-05,1.9741197e-05,3.352537e-05,2.185091e-05,3.0329524e-05,2.4822953e-05,,,,,,,
2021-11-22,Australia,Omicron 21L,3.3294047e-05,4.560517e-05,2.4202687e-05,4.0718278e-05,2.6673006e-05,3.694601e-05,3.0362247e-05,,,,,,,
2021-11-23,Australia,Omicron 21L,4.065937e-05,5.5497265e-05,2.9663843e-05,4.95738e-05,3.262678e-05,4.4978402e-05,3.7080765e-05,,,,,,,
2021-11-24,Australia,Omicron 21L,4.962171e-05,6.7508765e-05,3.6351514e-05,6.0234866e-05,3.993124e-05,5.483535e-05,4.52825e-05,,,,,,,
2021-11-25,Australia,Omicron 21L,6.029068e-05,8.1999286e-05,4.460297e-05,7.325388e-05,4.8856196e-05,6.6851484e-05,5.519956e-05,,,,,,,
2021-11-26,Australia,Omicron 21L,7.343163e-05,9.9310375e-05,5.4636534e-05,8.926074e-05,5.9578142e-05,8.1504724e-05,6.729873e-05,,,,,,,
2021-11-27,Australia,Omicron 21L,8.941282e-05,0.00012067192,6.6681416e-05,0.00010817087,7.262645e-05,9.9141595e-05,8.186836e-05,,,,,,,
2021-11-28,Australia,Omicron 21L,0.00010884326,0.0001465576,8.1478865e-05,0.0001312157,8.879949e-05,0.00012024957,9.954444e-05,,,,,,,
2021-11-29,Australia,Omicron 21L,0.00013210885,0.00017734744,9.9518016e-05,0.00015948698,0.00010826922,0.00014583179,0.000120901255,,,,,,,
2021-11-30,Australia,Omicron 21L,0.0001602048,0.00021407346,0.00012142905,0.00019333475,0.00013187455,0.00017670012,0.00014644256,,,,,,,
2021-12-01,Australia,Omicron 21L,0.0001948991,0.00025843916,0.00014809465,0.00023370197,0.00016041887,0.00021421303,0.00017729064,,,,,,,
2021-12-02,Australia,Omicron 21L,0.0002354166,0.00031197327,0.00018038164,0.00028251065,0.00019516418,0.00025930785,0.00021490423,,,,,,,
2021-12-03,Australia,Omicron 21L,0.00028448706,0.00037596977,0.00021837189,0.0003406317,0.00023691244,0.00031286338,0.00025953067,,,,,,,
2021-12-04,Australia,Omicron 21L,0.0003430592,0.00045221107,0.00026356778,0.00040945187,0.00028626676,0.00037728428,0.00031316135,,,,,,,
2021-12-05,Australia,Omicron 21L,0.00041258562,0.0005434304,0.00031762267,0.0004916669,0.00034573808,0.0004534073,0.0003768637,,,,,,,
2021-12-06,Australia,Omicron 21L,0.00049547106,0.0006506487,0.00038194505,0.0005891883,0.0004164276,0.0005444318,0.0004519822,,,,,,,
2021-12-07,Australia,Omicron 21L,0.00059328624,0.0007772266,0.00045609288,0.0007046917,0.00049856916,0.0006507429,0.0005419749,,,,,,,
2021-12-08,Australia,Omicron 21L,0.00070871814,0.000927364,0.0005418512,0.0008369107,0.00059601007,0.00077483477,0.0006476962,,,,,,,
2021-12-09,Australia,Omicron 21L,0.0008420353,0.0011019153,0.0006437594,0.000991651,0.0007101747,0.0009209565,0.0007687226,,,,,,,
2021-12-10,Australia,Omicron 21L,0.000996388,0.0013005486,0.00076297636,0.0011696725,0.000840632,0.0010878902,0.0009104643,,,,,,,
